带序号键盘监听器已启动（按ESC退出）
==================================================
事件编号规则：
- 每个独立事件（按下/释放）都有唯一递增编号
- 编号从1开始连续计数

  1. [按下] 按键: e        | 距上次按下间隔: 0.000s
  2. [按下] 按键: e        | 距上次按下间隔: 0.505s
  3. [按下] 按键: e        | 距上次按下间隔: 0.033s
  4. [按下] 按键: e        | 距上次按下间隔: 0.032s
  5. [按下] 按键: e        | 距上次按下间隔: 0.032s
  6. [按下] 按键: e        | 距上次按下间隔: 0.033s
  7. [按下] 按键: e        | 距上次按下间隔: 0.032s
  8. [释放] 按键: e        | 持续时长: 0.026s
  9. [按下] 按键: j        | 距上次按下间隔: 0.693s
 10. [按下] 按键: j        | 距上次按下间隔: 0.505s
 11. [按下] 按键: j        | 距上次按下间隔: 0.033s
 12. [按下] 按键: j        | 距上次按下间隔: 0.032s
 13. [按下] 按键: j        | 距上次按下间隔: 0.033s
 14. [按下] 按键: j        | 距上次按下间隔: 0.032s
 15. [按下] 按键: j        | 距上次按下间隔: 0.032s
 16. [按下] 按键: j        | 距上次按下间隔: 0.032s
 17. [按下] 按键: j        | 距上次按下间隔: 0.032s
 18. [按下] 按键: j        | 距上次按下间隔: 0.032s
 19. [按下] 按键: j        | 距上次按下间隔: 0.033s
 20. [按下] 按键: j        | 距上次按下间隔: 0.033s
 21. [按下] 按键: j        | 距上次按下间隔: 0.032s
 22. [按下] 按键: j        | 距上次按下间隔: 0.033s
 23. [按下] 按键: j        | 距上次按下间隔: 0.032s
 24. [按下] 按键: j        | 距上次按下间隔: 0.032s
 25. [按下] 按键: j        | 距上次按下间隔: 0.033s
 26. [按下] 按键: j        | 距上次按下间隔: 0.033s
 27. [按下] 按键: j        | 距上次按下间隔: 0.032s
 28. [按下] 按键: j        | 距上次按下间隔: 0.032s
 29. [按下] 按键: j        | 距上次按下间隔: 0.032s
 30. [按下] 按键: j        | 距上次按下间隔: 0.033s
 31. [按下] 按键: j        | 距上次按下间隔: 0.032s
 32. [按下] 按键: j        | 距上次按下间隔: 0.032s
 33. [按下] 按键: j        | 距上次按下间隔: 0.033s
 34. [按下] 按键: j        | 距上次按下间隔: 0.032s
 35. [按下] 按键: j        | 距上次按下间隔: 0.033s
 36. [按下] 按键: j        | 距上次按下间隔: 0.032s
 37. [按下] 按键: j        | 距上次按下间隔: 0.032s
 38. [按下] 按键: j        | 距上次按下间隔: 0.032s
 39. [按下] 按键: j        | 距上次按下间隔: 0.032s
 40. [按下] 按键: j        | 距上次按下间隔: 0.033s
 41. [按下] 按键: j        | 距上次按下间隔: 0.032s
 42. [按下] 按键: j        | 距上次按下间隔: 0.032s
 43. [按下] 按键: j        | 距上次按下间隔: 0.032s
 44. [按下] 按键: j        | 距上次按下间隔: 0.032s
 45. [按下] 按键: j        | 距上次按下间隔: 0.033s
 46. [按下] 按键: j        | 距上次按下间隔: 0.032s
 47. [按下] 按键: j        | 距上次按下间隔: 0.033s
 48. [按下] 按键: j        | 距上次按下间隔: 0.032s
 49. [按下] 按键: j        | 距上次按下间隔: 0.033s
 50. [按下] 按键: j        | 距上次按下间隔: 0.032s
 51. [按下] 按键: j        | 距上次按下间隔: 0.033s
 52. [按下] 按键: j        | 距上次按下间隔: 0.032s
 53. [按下] 按键: j        | 距上次按下间隔: 0.032s
 54. [按下] 按键: j        | 距上次按下间隔: 0.033s
 55. [按下] 按键: j        | 距上次按下间隔: 0.032s
 56. [按下] 按键: j        | 距上次按下间隔: 0.033s
 57. [按下] 按键: j        | 距上次按下间隔: 0.033s
 58. [按下] 按键: j        | 距上次按下间隔: 0.032s
 59. [按下] 按键: j        | 距上次按下间隔: 0.032s
 60. [释放] 按键: j        | 持续时长: 0.052s
 61. [按下] 按键: j        | 距上次按下间隔: 4.466s
